,ita,list_of_words,male,female,neutral,associated_word
0,A CALCIO,FOOTBALL,0.1551859825849533,0.1298348754644394,0.0847987979650497,male
1,A PALLAVOLO,AT VOLLEYBALL,0.1001086086034774,0.0899715572595596,0.0865540951490402,male
2,A SCUOLA,AT SCHOOL,0.0456102229654789,0.0489257797598838,0.0434373132884502,female
3,ABBINARE I COLORI,MATCH COLORS,0.0509965941309928,0.0477615445852279,0.1516824662685394,neutral
4,ACCOGLIENTE,WELCOMING,0.0499143227934837,0.0647229626774787,0.0837988033890724,neutral
5,ACCOMPAGNATRICE,COMPANION,0.1204992458224296,0.1245937347412109,0.0568520948290824,female
6,ACCUDIRE I FIGLI,CARING FOR THE CHILDREN,0.056592971086502,0.0632102563977241,0.0828643217682838,neutral
7,ADDESTRATORE DI CANI,DOG TRAINER,0.1054191812872886,0.0810684561729431,0.0663544163107872,male
8,AFFABILE,EASY GOING,0.0898424014449119,0.0870812684297561,0.09520123898983,neutral
9,AFFACCENDATA,BUSY,0.0256423763930797,0.0419585704803466,0.1308187693357467,neutral
10,AGENTE,AGENT,0.0727415084838867,0.0776371732354164,0.1140718981623649,neutral
11,AGENTE IMMOBILIARE,REAL ESTATE AGENT,0.0833980962634086,0.0639345496892929,0.0273722410202026,male
12,AGGIUSTARE,ADJUST,-0.0923511087894439,-0.0824711397290229,0.0762819498777389,neutral
13,AGGIUSTARE L'IMPIANTO ELETTRICO,ADJUST THE ELECTRICAL SYSTEM,-0.0922328308224678,-0.0809906497597694,0.0971928462386131,neutral
14,AGGIUSTATORE,ADJUSTER,0.0569267272949218,0.0695448070764541,0.0979619473218917,neutral
15,AGGIUSTATRICE,ADJUSTER,0.0569267272949218,0.0695448070764541,0.0979619473218917,neutral
16,AGGIUSTATUTTO,ADJUSTER,0.0569267272949218,0.0695448070764541,0.0979619473218917,neutral
17,AGRICOLTORE,FARMER,0.1477410048246383,0.1173140406608581,0.0638738423585891,male
18,AIUTANTE,SUPPORT WORKER,0.007620608434081,0.0133918607607483,0.0936289876699447,neutral
19,AIUTANTE DOMESTICO,DOMESTIC HELP,0.1608888804912567,0.1824550777673721,0.162111610174179,female
20,AIUTO,HELP,0.021372677758336,0.0364768616855144,0.1225745901465416,neutral
21,AL COMPUTER,AT THE PC,0.0842708870768547,0.0727728009223938,0.0695801973342895,male
22,ALLEATA,ALLY,0.0643885061144828,0.0593175627291202,0.2034318894147873,neutral
23,ALLENATORE,TRAINER,0.1801582276821136,0.1662373095750808,0.0890973284840583,male
24,ALLIEVA,STUDENT,0.2104004025459289,0.1863740533590316,0.098001554608345,male
25,ALLIEVO,STUDENT,0.2104004025459289,0.1863740533590316,0.098001554608345,male
26,ALPHA,ALPHA extension,0.0157740954309701,0.0315142497420311,0.0257658269256353,female
27,ALPINISTA,MOUNTAINEEPER,0.2477608621120453,0.2309521734714508,0.1196451336145401,male
28,ALTLETA,ATHLETE,0.2582942247390747,0.2363291382789611,0.1050700694322586,male
29,ALUNNA,STUDENT,0.2104004025459289,0.1863740533590316,0.098001554608345,male
30,ALUNNO,STUDENT,0.2104004025459289,0.1863740533590316,0.098001554608345,male
31,AMANTE,LOVER,0.2093708366155624,0.1854505687952041,0.1008675619959831,male
32,AMICA,FRIEND,0.1340505480766296,0.1108927428722381,0.138480544090271,neutral
33,AMICO,FRIEND,0.1340505480766296,0.1108927428722381,0.138480544090271,neutral
34,AMMAESTRATORE DI COCORITE,TRAINER OF PAROKETS,0.1857593357563018,0.1715529859066009,0.0858137682080268,male
35,AMMINISTRATORE,ADMINISTRATOR,0.1091140285134315,0.1106930747628212,0.0688121020793914,female
36,AMMINISTRATRICE,ADMINISTRATOR,0.1091140285134315,0.1106930747628212,0.0688121020793914,female
37,AMMINISTRATRICE DI CASA,HOUSE ADMINISTRATOR,0.1095996722579002,0.1079310551285743,0.0920004919171333,male
38,AMMINISTRATRICE DI CONDOMINIO,CONDOMINIUM ADMINISTRATOR,0.1198424473404884,0.1042092368006706,0.0884552970528602,male
39,ANALISTA,ANALYST,0.1122106686234474,0.116591103374958,0.0999309122562408,female
40,ANESTESISTA,ANESTHETIST,0.1136231869459152,0.1139444261789321,0.0916024670004844,female
41,ANIMALISTA,ANIMALIST,0.2951956987380981,0.303143560886383,0.1460269540548324,female
42,ANIMATORE,ANIMATOR,0.1440103501081466,0.1201679110527038,0.030410898849368,male
43,APICOLTORE,BEEKEEPER,0.1924943327903747,0.1867586821317672,0.0965376645326614,male
44,APPROFITTATORE,BENEFITER,0.1750912964344024,0.1658005863428115,0.1988774091005325,neutral
45,ARBITRO,REFEREE,0.055780503898859,0.077419176697731,0.0945215448737144,neutral
46,ARCHEOLOGA,ARCHAEOLOGIST,0.0780990719795227,0.0767262801527977,-0.0057654366828501,male
47,ARCHEOLOGO,ARCHAEOLOGIST,0.0780990719795227,0.0767262801527977,-0.0057654366828501,male
48,ARCHITETTO,ARCHITECT,0.144466295838356,0.1225365325808525,0.0259460154920816,male
49,ARCHITETTRICE,ARCHITECT,0.144466295838356,0.1225365325808525,0.0259460154920816,male
50,ARREDARE CASA,FURNISH HOME,0.0220593865960836,0.0272628758102655,0.0666066259145736,neutral
51,ARREDATORE,FURNISHER,0.2570253610610962,0.2562184929847717,0.1730059683322906,male
52,ARREDATRICE,FURNISHER,0.2570253610610962,0.2562184929847717,0.1730059683322906,male
53,ARROTINA,GRINDER,0.0745394602417945,0.0478551089763641,0.0458270497620105,male
54,ARTIGIANA,ARTISAN,0.1198524311184883,0.1098178327083587,0.0159902852028608,male
55,ARTIGIANO,ARTISAN,0.1198524311184883,0.1098178327083587,0.0159902852028608,male
56,ARTISTA,ARTIST,0.166268453001976,0.1545747965574264,0.0333759039640426,male
57,ASCOLTARE,TO LISTEN,0.039985105395317,0.0549313314259052,0.1030428558588028,neutral
58,ASCOLTATORE,LISTENER,0.1220953240990638,0.1155856549739837,0.0785756856203079,male
59,ASCOLTATRICE,LISTENER,0.1220953240990638,0.1155856549739837,0.0785756856203079,male
60,ASSESSORA,COUNCILOR,0.2589575350284576,0.2338778227567672,0.1853749901056289,male
61,ASSESSORE,COUNCILOR,0.2589575350284576,0.2338778227567672,0.1853749901056289,male
62,ASSICURATRICE,INSURER,0.0977073982357978,0.0888623967766761,0.1310528516769409,neutral
63,ASSISTENTE,ASSISTANT,0.1330837309360504,0.1574933677911758,0.0627069994807243,female
64,ASSISTENTE SOCIALE,SOCIAL WORKER,0.1697872728109359,0.1545247137546539,0.1047481745481491,male
65,ASTROFISICA,ASTROPHYSICS,0.058281160891056,0.0497142262756824,-0.0002065501030301,male
66,ASTRONAUTA,ASTRONAUT,0.1805710047483444,0.1456792652606964,0.0407788641750812,male
67,ATLETA,ATHLETE,0.2582942247390747,0.2363291382789611,0.1050700694322586,male
68,ATTORE,ACTOR,0.1607798039913177,0.1330119669437408,0.0754309892654419,male
69,ATTORE DI PROSA,PROSE ACTOR,0.0753230154514312,0.0540994778275489,0.0346537455916404,male
70,ATTRICE,ACTOR,0.1607798039913177,0.1330119669437408,0.0754309892654419,male
71,AUTISTA,DRIVER,0.1480739861726761,0.1149922981858253,0.1120464205741882,male
72,AUTOMOBILISTA,MOTORIST,0.2014960497617721,0.1929685622453689,0.0926993116736412,male
73,AUTORE,AUTHOR,0.1149530187249183,0.0945192947983741,0.0311191342771053,male
74,AVVITARE,SCREW,0.0489960350096225,0.0378878265619277,0.0535499490797519,neutral
75,AVVOCATO,LAWYER,0.0983163639903068,0.1005583703517913,0.0801278725266456,female
76,BABBO,DAD,0.1979092061519622,0.1036256551742553,0.0391697138547897,male
77,BABY SITTER,BABY SITTER,0.1730717569589615,0.1593968421220779,0.0753569900989532,male
78,BACIATRICE,KISSER,0.2598781585693359,0.2321695834398269,0.0569362714886665,male
79,BADANTE,CAREGIVER,0.1553846448659896,0.1673061102628708,0.0858457088470459,female
80,BAGNINA,LIFEGUARD,0.0873319208621978,0.0830278769135475,-0.0055238157510757,male
81,BAGNINO,LIFEGUARD,0.0873319208621978,0.0830278769135475,-0.0055238157510757,male
82,BALLARE,DANCE,0.0375973619520664,0.0655851364135742,-0.0180768184363842,female
83,BALLERINA,DANCER,0.1817741990089416,0.2122162282466888,0.0272106323391199,female
84,BALLERINO,DANCER,0.1817741990089416,0.2122162282466888,0.0272106323391199,female
85,BAMBINA,BABY,0.1460786908864975,0.1281946748495102,0.0585360340774059,male
86,BAMBINO,BABY,0.1460786908864975,0.1281946748495102,0.0585360340774059,male
87,BANCARIA,BANKING,0.0537975020706653,0.0543143600225448,0.0937718674540519,neutral
88,BANCARIO,BANKING,0.0537975020706653,0.0543143600225448,0.0937718674540519,neutral
89,BARBIERE,BARBER SHOP,0.1134820580482482,0.0859941691160202,0.1043397635221481,male
90,BARISTA,BARTENDER,0.1697177588939666,0.1671177744865417,0.027575546875596,male
91,BARZELLETTIERE,BARZELLETTERE,0.1592044830322265,0.1498730778694152,0.0928192734718322,male
92,BELLA,NICE,0.0529040843248367,0.0527748502790927,0.1013101711869239,neutral
93,BELLO,NICE,0.0529040843248367,0.0527748502790927,0.1013101711869239,neutral
94,BENZINAIA,GAS STATION,0.0437068194150924,0.0281467419117689,0.0760060176253318,neutral
95,BENZINAIO,GAS STATION,0.0437068194150924,0.0281467419117689,0.0760060176253318,neutral
96,BIDELLA,JANITOR,0.1772206425666809,0.1593860834836959,0.0809808075428009,male
97,BIDELLO,JANITOR,0.1772206425666809,0.1593860834836959,0.0809808075428009,male
98,BIMBA,CHILD,0.200132131576538,0.1672379672527313,0.0685976222157478,male
99,BIMBO,CHILD,0.200132131576538,0.1672379672527313,0.0685976222157478,male
100,BIOLOGA,BIOLOGIST,0.1551427096128463,0.1609444916248321,0.0327892191708087,female
101,BOCCHINARA,MOUTHPIECE,0.0937080606818199,0.0854653343558311,-0.0124897602945566,male
102,BRAV'UOMO,GOOD MAN,0.0134957181289792,0.0006944780470803,0.1283498257398605,neutral
103,BRAVA,GOOD BOY,0.0134957181289792,0.0006944780470803,0.1283498257398605,neutral
104,BRAVA PERSONA,GOOD PERSON,0.0134957181289792,0.0006944780470803,0.1283498257398605,neutral
105,BRAVO,GOOD BOY,0.0134957181289792,0.0006944780470803,0.1283498257398605,neutral
106,BRICOLEUR,BRICOLEUR,0.1826637238264084,0.1836130023002624,0.1131212338805198,female
107,BRICOLEUSE,BRICOLEUR,0.1826637238264084,0.1836130023002624,0.1131212338805198,female
108,BRICOMEN,BRICOLEUR,0.1826637238264084,0.1836130023002624,0.1131212338805198,female
109,BRUTTO,UGLY,0.0184259768575429,0.0105112334713339,0.1026635244488716,neutral
110,BUGIARDA,YOU LIAR,0.2323262989521026,0.2054203003644943,0.0842568352818489,male
111,BUONA,GOOD,0.0134957181289792,0.0006944780470803,0.1283498257398605,neutral
112,CACCIATORE,SOCCER PLAYER,0.2228108346462249,0.2153107821941375,0.0903140380978584,male
113,CACCIATRICE,SOCCER PLAYER,0.2228108346462249,0.2153107821941375,0.0903140380978584,male
114,CAGACAZZI,FUCKS,0.064607486128807,0.0587978959083557,-0.0003551421687006,male
115,CALCIATORE,SOCCER PLAYER,0.2228108346462249,0.2153107821941375,0.0903140380978584,male
116,CALCIATRICE,SOCCER PLAYER,0.2228108346462249,0.2153107821941375,0.0903140380978584,male
117,CALCOLATORE,COMPUTER,0.0797670111060142,0.0669383034110069,0.0948663204908371,neutral
118,CAMBIARE LAMPADINE,CHANGE LIGHT BULBS,-0.023017294704914,-0.005999572109431,0.0551991425454616,neutral
119,CAMBIARE LE LAMPADINE,CHANGE LIGHT BULBS,-0.023017294704914,-0.005999572109431,0.0551991425454616,neutral
120,CAMERIERA,WAITER,0.1442030668258667,0.1254497617483139,0.0392881408333778,male
121,CAMERIERE,WAITER,0.1442030668258667,0.1254497617483139,0.0392881408333778,male
122,CAMIONISTA,TRUCK DRIVER,0.118081122636795,0.0928199961781501,0.0917291566729545,male
123,CANTANTE,SINGER,0.1758449822664261,0.15969780087471,0.0271373223513364,male
124,CANTARE,SING,-0.0215895809233188,-0.0168459694832563,-0.001527932472527,neutral
125,CANTORE,SINGER,0.1758449822664261,0.15969780087471,0.0271373223513364,male
126,CAPO,HEAD,0.0677589029073715,0.0637115836143493,-0.0038566682487726,male
127,CAPO OFFICINA,WORKSHOP HEAD,0.0675813853740692,0.051330454647541,0.0247886274009943,male
128,CAPO PROGETTO,PROJECT LEADER,-0.0156073216348886,-0.030602466315031,0.0393910743296146,neutral
129,CAPOFAMIGLIA,HOUSEHOLDER,0.3021718561649322,0.2786887884140014,0.2530484199523926,male
130,CARABINIERE,CARABINIER,0.1105829253792762,0.0827299505472183,0.0316781513392925,male
131,CARDIOLOGA,CARDIOLOGIST,0.1361006945371627,0.1151590049266815,0.0394186601042747,male
132,CARPENTIERE,CARPENTER,0.2022672742605209,0.1616635024547577,0.0812110528349876,male
133,CARPENTIERIE,CARPENTER,0.2022672742605209,0.1616635024547577,0.0812110528349876,male
134,CASALINGA,HOMEMADE,0.1359624415636062,0.155203491449356,0.0075040683150291,female
135,CASALINGO,HOMEMADE,0.1359624415636062,0.155203491449356,0.0075040683150291,female
136,CASINISTA,CASINIST,0.2175717651844024,0.1975093632936477,0.1611979603767395,male
137,CASSIERE,CASHIER,0.1172060072422027,0.1126836761832237,0.0977091044187545,male
138,CAVALIERE,KNIGHT,0.1688690185546875,0.1334366500377655,0.0646626725792884,male
139,CESTISTA,BASKETBALL PLAYER,0.2105230540037155,0.186629056930542,0.0837894156575203,male
140,CHE CONTRIBUISCE  ALLA VITA QUOTIDIANA,THAT CONTRIBUTES TO EVERYDAY LIFE,0.0778058990836143,0.0791760608553886,0.1008783653378486,neutral
141,CHEF,CHEF,0.1378087252378463,0.1245257854461669,0.0835271552205085,male
142,CHIACCHIERONA,CHATTERY,0.1594172865152359,0.1463918089866638,0.2283691465854644,neutral
143,CHIACCHIERONE,CHATTERY,0.1594172865152359,0.1463918089866638,0.2283691465854644,neutral
144,CHIRURGO,SURGEON,0.1547918021678924,0.1342263370752334,0.0963179320096969,male
145,CHITARRISTA,GUITARIST,0.2406323850154876,0.2309805154800415,0.1025763228535652,male
146,CICCIONE,FAT,0.0828483402729034,0.0526515580713748,0.0413676984608173,male
147,CICLISTA,CYCLIST,0.1673270910978317,0.160993754863739,0.09999480843544,male
148,CITTADINA,CITIZEN,0.1812347620725631,0.1378543674945831,0.1677620708942413,male
149,CITTADINO,CITIZEN,0.1812347620725631,0.1378543674945831,0.1677620708942413,male
150,CLIENTE,CUSTOMER,0.1869084686040878,0.1452420204877853,0.1269865185022354,male
151,COGLIONE,ASSHOLE,0.1441945433616638,0.106850653886795,0.030126430094242,male
152,COGNATA,BROTHER IN LAW,0.2032041698694229,0.1541354954242706,0.1019946262240409,male
153,COGNATO,BROTHER IN LAW,0.2032041698694229,0.1541354954242706,0.1019946262240409,male
154,COINQUILINA,ROOMMATE,0.2021487206220626,0.1925882697105407,0.1116095408797264,male
155,COINQUILINO,ROOMMATE,0.2021487206220626,0.1925882697105407,0.1116095408797264,male
156,COLLABORARE ALLA STESURA DELL'OPERA,COLLABORATE IN THE DRAFTING OF THE WORK,0.0283060185611248,0.0158903412520885,0.0897054672241211,neutral
157,COLLABORATORE,COLLABORATOR,0.0612500756978988,0.0487290397286415,0.1087835654616355,neutral
158,COLLABORATORE IN CASA,HOME COLLABORATOR,0.038185890763998,0.0311722233891487,0.1175278350710868,neutral
159,COLLABORATORE PER LE FACCENDE DI CASA,COLLABORATOR FOR HOUSEWORK,0.0772676169872284,0.0671081840991973,0.1129087582230568,neutral
160,COLLABORATRICE,COLLABORATOR,0.0612500756978988,0.0487290397286415,0.1087835654616355,neutral
161,COLLEGA,COLLEAGUE,0.2120605111122131,0.189020350575447,0.1164977326989173,male
162,COMICA,COMIC,0.1509126722812652,0.1417190283536911,0.1029626280069351,male
163,COMICO,COMIC,0.1509126722812652,0.1417190283536911,0.1029626280069351,male
164,COMMERCIALISTA,BUSINESS CONSULTANT,0.0662450864911079,0.0488950572907924,0.0728025734424591,neutral
165,COMMERCIANTE,MERCHANT,0.1370506137609481,0.1234805583953857,0.0729045271873474,male
166,COMMESSA,SHOP ASSISTANT,0.0544201917946338,0.0492831729352474,0.0936097651720047,neutral
167,COMMESSO,SHOP ASSISTANT,0.0544201917946338,0.0492831729352474,0.0936097651720047,neutral
168,COMMISSARIA,COMMISSIONER,0.071880005300045,0.0832310989499092,0.0641192719340324,female
169,COMMITTENTE,CLIENT,0.1599260568618774,0.1097233965992927,0.1214942038059234,male
170,COMPAGNA,COMPANY,0.0570142678916454,0.033658031374216,0.0693116262555122,neutral
171,COMPAGNA DI LAVORO,WORK COMPANION,0.0099227419123053,0.019556351006031,0.0704702585935592,neutral
172,COMPAGNA DI STUDI,STUDENT COMPANION,0.2121287733316421,0.1946107894182205,0.1015263497829437,male
173,COMPAGNA DI VITA,LIFE PARTNER,0.0959430560469627,0.1002529039978981,0.016593923792243,female
174,COMPAGNO,COMPANY,0.0570142678916454,0.033658031374216,0.0693116262555122,neutral
175,COMPAGNO DI VITA,LIFE PARTNER,0.0959430560469627,0.1002529039978981,0.016593923792243,female
176,COMPETENTE,QUALIFIED,0.0697484761476516,0.0849174410104751,0.0629067420959472,female
177,COMPLICE,PARTNER IN CRIME,0.1450995504856109,0.1446141749620437,0.1567539274692535,neutral
178,CON CARLA,WITH CARLA,0.1620774269104004,0.212349072098732,0.1588308066129684,female
179,CON GLI AMICI,WITH FRIENDS,0.127422884106636,0.0998977050185203,0.1719633042812347,neutral
180,CON GLI ANIMALI,WITH ANIMALS,0.0907315239310264,0.1022276505827903,0.0688832551240921,female
181,CON I BAMBINI,WITH THE CHILDREN,0.182017982006073,0.1631027311086654,0.084148459136486,male
182,CON I FIGLI,WITH CHILDREN,0.1693101972341537,0.1468272805213928,0.0885635092854499,male
183,CON LA FAMIGLIA,WITH THE FAMILY,0.0842958316206932,0.0693089812994003,0.1099545508623123,neutral
184,CONDOTTIERO,LEADER,0.1480206102132797,0.1249339953064918,0.1033971533179283,male
185,CONDUCENTE,DRIVER,0.1480739861726761,0.1149922981858253,0.1120464205741882,male
186,CONDUTTORE,CONDUCTOR,0.0784618929028511,0.0782294049859047,0.1219702884554863,neutral
187,CONIUGE,SPOUSE,0.2045178115367889,0.2058102935552597,0.1100072562694549,female
188,CONSIGLIERA,COUNSELOR,0.1105361133813858,0.1083587706089019,0.0576870925724506,male
189,CONSIGLIERE,COUNSELOR,0.1105361133813858,0.1083587706089019,0.0576870925724506,male
190,CONSORTE,WIFE,0.2011303454637527,0.2526187896728515,0.1088031083345413,female
191,CONSULENTE,CONSULTANT,0.1082373112440109,0.0959316566586494,0.1300430744886398,neutral
192,CONTABILE,ACCOUNTANT,0.1081182807683944,0.1017763912677764,0.027187755331397,male
193,CONTADINO,FARMER,0.1477410048246383,0.1173140406608581,0.0638738423585891,male
194,CONTRALTO,ALTO,0.1645043790340423,0.1462483555078506,0.0856830552220344,male
195,CONVIVENTE,COhabitant,0.1982329487800598,0.2123323082923889,0.1105916425585746,female
196,COORDINATRICE,COORDINATOR,0.1044897735118866,0.1185929924249649,0.0479160249233245,female
197,COPILOTA,CO-PILOT,0.1273159086704254,0.1217115521430969,0.060383167117834,male
198,CORISTA,CHOIR,-0.0273763295263052,-0.0349816940724849,-0.045724656432867,male
199,CORRERE,RUN,0.055355254560709,0.0633470341563224,0.0504843369126319,female
200,CORRIDORE,RUNNER,0.1745934933423996,0.1566708087921142,0.0801861658692359,male
201,COSTRUTTORE,BUILDER,0.1698832064867019,0.1271321922540664,0.0599803924560546,male
202,CREATURA,CREATURE,0.1295161843299865,0.1309429556131363,0.0289098899811506,female
203,CRISTIANA,CHRISTIAN,0.1772624105215072,0.1563391834497451,0.1000096499919891,male
204,CRISTIANACCIO,CRISTIAN CHRISTIANS,0.1920399665832519,0.1859140247106552,0.0997251868247985,male
205,CRISTIANO,CHRISTIAN,0.1772624105215072,0.1563391834497451,0.1000096499919891,male
206,CRISTO,CHRIST,0.1910326480865478,0.1536469161510467,0.0832103714346885,male
207,CUCINARE,TO COOK,0.0613490641117095,0.0574240013957023,0.0673967152833938,neutral
208,CUCINARE L'ARROSTO,COOKING THE ROAST,-0.0123430844396352,-0.0066028391011059,0.0284326691180467,neutral
209,CUCINIERA,COOK,0.0223844200372695,0.0177383944392204,0.0478075742721557,neutral
210,CUGINA,COUSIN,0.1363423615694046,0.1352733820676803,0.0963634848594665,male
211,CUGINO,COUSIN,0.1363423615694046,0.1352733820676803,0.0963634848594665,male
212,CUOCA,COOK,0.0223844200372695,0.0177383944392204,0.0478075742721557,neutral
213,CUOCO,COOK,0.0223844200372695,0.0177383944392204,0.0478075742721557,neutral
214,DANZATRICE,DANCER,0.1817741990089416,0.2122162282466888,0.0272106323391199,female
215,DARSI DA FARE,GET TO DO,0.0606135688722133,0.069459892809391,0.1320108026266098,neutral
216,DATORE DI LAVORO,EMPLOYER,0.191314235329628,0.1748033761978149,0.1029613614082336,male
217,DATTILOGRAFA,TYPIST,0.166140466928482,0.1463851928710937,0.0485430620610713,male
218,DECORATRICE,DECORATOR,0.0824037566781044,0.0821477696299552,-0.0084928683936595,male
219,DENTISTA,DENTIST,0.1852784156799316,0.1644393056631088,0.1337575614452362,male
220,DESIGNER,DESIGNER,0.1056981086730957,0.1043769493699073,0.0374038256704807,male
221,DETECTIVE,DETECTIVES,0.0882394909858703,0.087910495698452,0.0519983544945716,male
222,DETERMINATA,DETERMINED,3.70456837117672e-05,0.0108328312635421,0.1100341826677322,neutral
223,DIAVOLO,DEVIL,0.0623601227998733,0.0524970069527626,0.102930448949337,neutral
224,DIETOLOGO,DIETICIAN,0.1222018077969551,0.1130586564540863,0.028886130079627,male
225,DIPENDENTE,EMPLOYEE,0.2162465900182724,0.1939892917871475,0.104438841342926,male
226,DIPINGERE,PAINT,0.0818367227911949,0.0781456008553505,0.0833935588598251,neutral
227,DIRETTORE,DIRECTOR,0.0709094032645225,0.0703463926911354,0.03691978007555,male
228,DIRETTRICE,DIRECTOR,0.0709094032645225,0.0703463926911354,0.03691978007555,male
229,DIRIGENTE,EXECUTIVE,0.0663365274667739,0.0591273941099643,0.0597453266382217,male
230,DISEGNARE,DRAW,0.0317428633570671,0.0312335267663002,0.0799127593636512,neutral
231,DISEGNATORE,DESIGNER,0.1056981086730957,0.1043769493699073,0.0374038256704807,male
232,DISEGNATRICE,DESIGNER,0.1056981086730957,0.1043769493699073,0.0374038256704807,male
233,DISOCCUPATO,UNEMPLOYED,0.1760976165533065,0.1568779945373535,0.1966113001108169,neutral
234,DISORDINATO,MESSY,0.0849087461829185,0.0877309665083885,0.1369884610176086,neutral
235,DISPONIBILE,AVAILABLE,0.0424591898918151,0.0547965876758098,0.1056219935417175,neutral
236,DIVULGATORE,RELEASER,0.2164442688226699,0.206970989704132,0.1052564606070518,male
237,DJ,DJs,0.1491971611976623,0.1391304731369018,0.0117530357092618,male
238,DOCENTE,PROFESSOR,0.1637537777423858,0.151487722992897,0.0935597419738769,male
239,DOLCE,SWEET,0.0238593574613332,0.0522393360733985,0.0699111074209213,neutral
240,DOMESTICA,DOMESTIC,0.2402929961681366,0.258964329957962,0.1596333533525467,female
241,DOMESTICO,DOMESTIC,0.2402929961681366,0.258964329957962,0.1596333533525467,female
242,DONNA,WOMAN,0.2570820152759552,0.3629322946071625,0.099229097366333,female
243,DONNA DI CASA,WOMAN OF THE HOUSE,0.2570820152759552,0.3629322946071625,0.099229097366333,female
244,DONNAIOLO,PLAY BOY,0.0773527771234512,0.0879078209400177,0.0630376115441322,female
245,DORMIGLIONE,SLEEPYLONE,0.2361960262060165,0.1949313282966613,0.1800436079502105,male
246,DORMIRE,SLEEP,0.0282963793724775,0.0359137840569019,0.0924380794167518,neutral
